 match,player1,player2,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,RA,RB,consecutive_victories_p1,consecutive_victories_p2,server_p1,server_p2,turnning_point,RA,RB
WTA 华欣站 女单,施耐德,朱琳,1,1,1,0,0,0,0,15,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100,130,0,0,1,0,0,100,130
,108,45,1,1,2,0,0,0,0,15,15,1,2,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,108.6890639,121.3109361,0,0,1,0,0,108.6890639,121.3109361
,,,1,1,3,0,0,0,0,30,15,1,1,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.9795654,129.0204346,0,0,1,0,0,100.9795654,129.0204346
,,,1,1,4,0,0,0,0,40,15,1,1,3,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,109.623832,120.376168,1,-1,1,0,0,109.623832,120.376168
,,,1,2,5,0,0,1,0,0,15,2,2,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,126.1188374,103.8811626,0,0,0,1,0,126.1188374,103.8811626
,,,1,2,6,0,0,1,0,15,15,2,1,4,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,117.6074941,112.3925059,0,0,0,1,0,117.6074941,112.3925059
,,,1,2,7,0,0,1,0,30,15,2,1,5,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,125.4874236,104.5125764,1,-1,0,1,0,125.4874236,104.5125764
,,,1,2,8,0,0,1,0,30,30,2,2,5,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0050457,96.99495427,0,0,0,1,0,133.0050457,96.99495427
,,,1,2,9,0,0,1,0,40,30,2,1,6,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,124.1788391,105.8211609,0,0,0,1,0,124.1788391,105.8211609
,,,1,3,10,0,0,2,0,0,15,1,2,6,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,139.3342226,90.66577737,0,0,1,0,0,139.3342226,90.66577737
,,,1,3,11,0,0,2,0,15,15,1,1,7,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,130.2208629,99.77913708,0,0,1,0,0,130.2208629,99.77913708
,,,1,3,12,0,0,2,0,30,15,1,1,8,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,137.5217045,92.4782955,1,-1,1,0,0,137.5217045,92.4782955
,,,1,3,13,0,0,2,0,30,30,1,2,8,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,144.4903137,85.50968627,0,0,1,0,0,144.4903137,85.50968627
,,,1,3,14,0,0,2,0,30,40,1,2,8,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,135.1451318,94.85486816,-1,1,1,0,0,135.1451318,94.85486816
,,,1,3,15,0,0,2,0,40,40,1,1,9,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,126.2215506,103.7784494,0,0,1,0,0,126.2215506,103.7784494
,,,1,3,16,0,0,2,0,40,AD,1,1,10,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,133.7054967,96.29450335,1,-1,1,0,0,133.7054967,96.29450335
,,,1,4,17,0,0,2,1,15,0,2,1,11,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,115.9892845,114.0107155,2,-2,0,1,0,115.9892845,114.0107155
,,,1,4,18,0,0,2,1,30,0,2,1,12,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,123.9437267,106.0562733,3,-3,0,1,0,123.9437267,106.0562733
,,,1,4,19,0,0,2,1,30,15,2,2,12,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,131.5322164,98.46778359,0,0,0,1,0,131.5322164,98.46778359
,,,1,4,20,0,0,2,1,30,30,2,2,12,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,122.7731698,107.2268302,-1,1,0,1,0,122.7731698,107.2268302
,,,1,4,21,0,0,2,1,30,40,2,2,12,9,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,114.4154408,115.5845592,-2,2,0,1,0,114.4154408,115.5845592
,,,1,5,22,0,0,2,2,15,0,1,1,13,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,98.46928053,131.5307195,0,0,1,0,0,98.46928053,131.5307195
,,,1,5,23,0,0,2,2,30,0,1,1,14,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,107.2282588,122.7717412,1,-1,1,0,0,107.2282588,122.7717412
,,,1,5,24,0,0,2,2,40,0,1,1,15,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,115.5859221,114.4140779,2,-2,1,0,0,115.5859221,114.4140779
,,,1,5,25,0,0,2,2,40,15,1,2,15,10,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,123.5589395,106.4410605,0,0,1,0,0,123.5589395,106.4410605
,,,1,6,26,0,0,3,2,0,15,2,2,15,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,138.7712693,91.22873071,-1,1,0,1,0,138.7712693,91.22873071
,,,1,6,27,0,0,3,2,0,30,2,2,15,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,129.6833438,100.3166562,-2,2,0,1,0,129.6833438,100.3166562
,,,1,6,28,0,0,3,2,15,30,2,1,16,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,121.0087566,108.9912434,0,0,0,1,0,121.0087566,108.9912434
,,,1,6,29,0,0,3,2,15,40,2,2,16,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,128.7321534,101.2678466,0,0,0,1,0,128.7321534,101.2678466
,,,1,6,30,0,0,3,2,30,40,2,1,17,13,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,120.1010783,109.8989217,0,0,0,1,0,120.1010783,109.8989217
,,,1,7,31,0,0,3,3,15,0,1,1,18,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,103.6313866,126.3686134,1,-1,1,0,1,103.6313866,126.3686134
,,,1,7,32,0,0,3,3,15,15,1,2,18,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,112.1541845,117.8458155,0,0,1,0,0,112.1541845,117.8458155
,,,1,7,33,0,0,3,3,30,15,1,1,19,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,104.2852274,125.7147726,0,0,1,0,2,104.2852274,125.7147726
,,,1,7,34,0,0,3,3,30,30,1,2,19,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,112.7780361,117.2219639,0,0,1,0,0,112.7780361,117.2219639
,,,1,7,35,0,0,3,3,30,40,1,2,19,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,104.8803558,125.1196442,-1,1,1,0,0,104.8803558,125.1196442
,,,1,7,36,0,0,3,3,40,40,1,1,20,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,97.34585617,132.6541438,0,0,1,0,3,97.34585617,132.6541438
,,,1,7,37,0,0,3,3,40,AD,1,2,20,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,106.1560722,123.8439278,0,0,1,0,0,106.1560722,123.8439278
,,,1,7,38,0,0,3,3,40,40,1,1,21,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,98.56299865,131.4370013,0,0,1,0,4,98.56299865,131.4370013
,,,1,7,39,0,0,3,3,40,AD,1,2,21,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,107.3176997,122.6823003,0,0,1,0,0,107.3176997,122.6823003
,,,1,7,40,0,0,3,3,40,40,1,1,22,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,99.67125222,130.3287478,0,0,1,0,5,99.67125222,130.3287478
,,,1,7,41,0,0,3,3,AD,40,1,1,23,18,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,108.3753407,121.6246593,1,-1,1,0,6,108.3753407,121.6246593
,,,1,8,42,0,0,4,3,0,15,2,2,23,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,124.9851988,105.0148012,0,0,0,1,0,124.9851988,105.0148012
,,,1,8,43,0,0,4,3,0,30,2,2,23,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,116.5258691,113.4741309,-1,1,0,1,0,116.5258691,113.4741309
,,,1,8,44,0,0,4,3,0,40,2,2,23,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,108.4556021,121.5443979,-2,2,0,1,0,108.4556021,121.5443979
,,,1,8,45,0,0,4,3,15,40,2,1,24,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7568402,129.2431598,0,0,0,1,0,100.7568402,129.2431598
,,,1,8,46,0,0,4,3,30,40,2,1,25,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,109.4112961,120.5887039,1,-1,0,1,0,109.4112961,120.5887039
,,,1,8,47,0,0,4,3,40,40,2,1,26,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,117.6685767,112.3314233,2,-2,0,1,0,117.6685767,112.3314233
