match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server1,server,receiver,serve_no,point_victor,consecutive_victories,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,distance_difference_p2_p1,rally_count,speed_mph,serve_width,serve_depth,return_depth
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0,1,1,1,0,0,0,0,0,0,1,Carlos Alcaraz,Nicolas Jarry,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.84,2,95,BC,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,38,1,1,2,0,0,0,0,0,15,1,Carlos Alcaraz,Nicolas Jarry,1,1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.681,1,118,B,CTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,61,1,1,3,0,0,0,0,15,15,1,Carlos Alcaraz,Nicolas Jarry,1,2,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.689,4,120,B,NCTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,91,1,1,4,0,0,0,0,15,30,1,Carlos Alcaraz,Nicolas Jarry,1,1,-1,2,2,0,0,0,0,1,0,F,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34.212,13,130,BW,CTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,141,1,1,5,0,0,0,0,30,30,1,Carlos Alcaraz,Nicolas Jarry,1,1,-2,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.376,1,112,W,NCTL,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,170,1,1,6,0,0,0,0,40,30,1,Carlos Alcaraz,Nicolas Jarry,2,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.334,2,97,BW,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,213,1,1,7,0,0,0,0,40,40,1,Carlos Alcaraz,Nicolas Jarry,1,1,-1,4,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.338,1,109,W,CTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,241,1,1,8,0,0,0,0,50,40,1,Carlos Alcaraz,Nicolas Jarry,2,2,1,4,4,0,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,44.902,6,105,B,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,288,1,1,9,0,0,0,0,40,40,1,Carlos Alcaraz,Nicolas Jarry,1,1,-1,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,35.007,7,128,BC,CTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,332,1,1,10,0,0,0,0,50,40,1,Carlos Alcaraz,Nicolas Jarry,1,1,-2,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.199,5,110,B,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,425,1,2,11,0,0,1,0,0,0,2,Nicolas Jarry,Carlos Alcaraz,1,2,1,6,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.329,1,112,W,CTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,448,1,2,12,0,0,1,0,0,15,2,Nicolas Jarry,Carlos Alcaraz,1,1,-1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.829,4,130,W,NCTL,D
