elapsed_time,set_no,game_no,p1_sets,p2_sets,p1_games,p2_games,server,point_victor,consecutive_victories,p1_points_won,p2_points_won,game_victor,set_victor,p1_unf_err,p2_unf_err,distance_difference_p2_p1,speed_mph,sum_of_distance_p1,sum_of_distance_p2,EA,EB,K,(Sa-Ea),(Sb-Eb),beta_pA,beta_pB,alpha_PA,alpha_pB,z_pA,z_pB,ω_pA,ω_pB,RA,RB,turnning_point
0,1,1,0,0,0,0,1,2,1,0,1,0,0,1,0,1.84,95,6,7.84,121.3109361,108.6890639,16,-0.543066492,0.543066492,1,0,1,0,0,0,7.9,7.84,130,100,0
38,1,1,0,0,0,0,1,1,-1,1,1,0,0,0,0,3.681,118,11.253,14.934,129.0204346,100.9795654,16,0.481843652,-0.481843652,0,0,1,0,0,0,13.613,14.934,110.6152226,98.68636707,0
61,1,1,0,0,0,0,1,2,1,1,2,0,0,1,0,9.689,120,25.053,34.742,120.376168,109.623832,16,-0.540266663,0.540266663,1,0,1,0,0,0,27.453,34.742,106.0167509,81.1127898,0
91,1,1,0,0,0,0,1,1,-1,2,2,0,0,0,0,34.212,130,76.161,110.373,128.1286653,101.8713347,16,0.484531083,-0.484531083,0,0,1,0,0,0,78.761,110.373,89.06990686,81.63388849,0
141,1,1,0,0,0,0,1,1,-2,3,2,0,0,0,0,34.376,112,76.81,111.186,135.5252163,94.47478366,16,0.462284441,-0.462284441,0,0,1,0,1,-1,79.05,111.186,86.64201957,65.75187616,0
170,1,1,0,0,0,0,1,2,1,3,3,0,0,0,0,33.334,97,82.101,115.435,126.5843692,103.4156308,16,-0.558802945,0.558802945,0,0,1,0,0,0,84.041,115.435,84.32444493,51.97778265,0
213,1,1,0,0,0,0,1,1,-1,4,3,0,0,0,0,44.338,109,88.918,133.256,134.0516787,95.94832133,16,0.466706841,-0.466706841,0,0,1,0,0,0,91.098,133.256,68.42160964,55.67999358,0
241,1,1,0,0,0,0,1,2,1,4,4,0,0,0,0,44.902,105,106.421,151.323,125.1778171,104.8221829,16,-0.554616347,0.554616347,0,0,1,0,0,0,108.521,151.323,67.81656102,42.68407704,0
288,1,1,0,0,0,0,1,1,-1,5,4,0,0,0,0,35.007,128,140.91,175.917,132.7096469,97.29035313,16,0.47073936,-0.47073936,0,0,1,0,0,0,143.47,175.917,53.62908262,47.23637178,0
332,1,1,0,0,0,0,1,1,-2,6,4,1,0,0,0,41.199,110,162.145,203.344,147.0841553,82.91584466,32,0.44920339,-0.44920339,0,0,1,0,1,-1,164.345,203.344,54.54156201,35.03335762,0
425,1,2,0,0,1,0,2,2,1,6,5,0,0,0,0,40.329,112,167.93,208.259,137.6231992,92.37680078,16,-0.591309758,0.591309758,0,0,0,1,0,0,167.93,210.499,61.25929126,17.37378729,0
448,1,2,0,0,1,0,2,1,-1,7,5,0,0,0,0,38.829,130,187.674,226.503,144.5872125,85.41278753,16,0.435250828,-0.435250828,0,0,0,1,0,0,187.674,229.103,45.73530207,23.4940054,0
486,1,2,0,0,1,0,2,1,-2,8,5,0,0,0,1,31.442,120,213.687,245.129,151.2376948,78.76230519,16,0.415655146,-0.415655146,0,1,0,1,1,-1,213.687,247.529,48.07404543,15.36591999,0
521,1,2,0,0,1,0,2,2,1,8,6,0,0,0,0,27.887,128,224.354,252.241,141.592679,88.40732104,16,-0.602813491,0.602813491,0,0,0,1,0,0,224.354,254.801,50.00930082,9.154038164,0
